site_id,latitude,longitude,C1_Major_Roads,C5_Competitor_EVCS,C6_POI_Schools,C6_POI_Shopping_Malls,C6_POI_Restaurants,C6_POI_Hospitals,C6_POI_Theatres,C6_POI_Bus_Stops,C6_POI_Petrol_Bunks
SITE_001,25.308410194539526,82.95029735488956,8.3015,1.0,2.8294,2.2995,5.0716,1.0,1.0547,3.1981,2.2709
SITE_002,25.312922923776338,82.95036963237585,6.3224,1.0,2.5973,2.1734,3.9451,1.0,1.0104,2.4135,1.8372
SITE_003,25.3174356500578,82.95044192725578,7.0869,1.0,2.2936,1.9728,2.8256,1.0,1.0031,1.8653,1.4493
SITE_004,25.3219483733835,82.95051423953211,8.9426,1.0,1.9939,1.7495,1.9784,1.0,1.0053,1.4226,1.1968
SITE_005,25.32646109375302,82.95058656920772,7.2666,1.0,1.7808,1.5705,1.4433,1.0,1.0121,1.139,1.0722
SITE_006,25.330973811165975,82.95065891628538,5.4457,1.0,1.7153,1.4956,1.1631,1.0,1.0212,1.0288,1.0294
SITE_007,25.335486525621942,82.95073128076791,5.6795,1.0,1.816,1.5581,1.0471,1.0,1.0274,1.0037,1.0355
SITE_008,25.294806253392675,82.95504457276812,6.2264,1.0,3.0728,2.6877,5.2155,1.0,3.4339,2.441,2.6732
SITE_009,25.299318978143837,82.95511698165545,8.2125,1.0,3.1836,2.7894,5.9903,1.0,2.0691,3.5602,2.9882
SITE_010,25.303831699939913,82.9551894079721,8.5922,1.0,3.2319,2.8805,6.1502,1.0,1.3523,4.0784,2.9483
SITE_011,25.308344418780493,82.9552618517209,8.8469,1.0,3.1686,2.8877,5.494,1.0,1.0883,3.9842,2.5617
SITE_012,25.31285713466516,82.9553343129047,7.5354,1.0,2.977,2.7715,4.3516,1.0,1.0202,3.7618,2.0213
SITE_013,25.317369847593515,82.95540679152627,7.7424,1.0,2.6872,2.5456,3.1824,1.0,1.0133,3.2072,1.5446
SITE_014,25.321882557565146,82.95547928758845,8.3798,1.0,2.3713,2.2722,2.2354,1.0,1.0291,2.2462,1.2376
SITE_015,25.326395264579638,82.95555180109406,6.4788,1.0,2.12,2.0372,1.5864,1.0,1.0641,1.4505,1.0894
SITE_016,25.33090796863659,82.95562433204594,4.7965,1.0,2.0104,1.918,1.2244,1.0,1.1097,1.1014,1.0476
SITE_017,25.3354206697356,82.95569688044692,4.7679,1.0,2.0785,1.9571,1.068,1.0,1.1395,1.0142,1.0843
SITE_018,25.33993336787625,82.95576944629978,4.718,1.0,2.3058,2.1481,1.0165,1.0,1.1305,1.0013,1.215
SITE_019,25.34444606305813,82.9558420296074,4.8586,1.0,2.6228,2.4367,1.0033,1.0,1.0894,1.0001,1.4747
SITE_020,25.348958755280847,82.95591463037259,6.0306,1.0,2.9299,2.7342,1.0006,1.0,1.0448,1.0,1.8573
SITE_021,25.28571491918763,82.95986336885562,5.9916,1.0,3.0089,3.1734,3.9208,1.0,6.6889,1.055,2.231
SITE_022,25.29022763646653,82.95993592636664,5.3084,1.0,3.0823,3.0742,4.4693,1.0,5.5582,1.2706,2.2268
SITE_023,25.2947403507902,82.96000850134548,6.0875,1.0,3.2102,3.0991,5.3145,1.0,3.7402,1.8314,2.3552
SITE_024,25.29925306215822,82.96008109379501,8.0812,1.0,3.3574,3.2115,6.083,1.0,2.2345,2.669,2.4375
SITE_025,25.303765770570195,82.96015370371799,8.8158,1.0,3.463,3.3315,6.2572,1.0,1.4199,3.5041,2.3352
SITE_026,25.308278476025702,82.9602263311173,7.6691,1.0,3.4652,3.3729,5.657,1.0,1.1177,4.4477,2.042
SITE_027,25.312791178524336,82.96029897599574,8.983,1.0,3.3302,3.2833,4.5891,1.0,1.0475,5.3826,1.6717
SITE_028,25.317303878065697,82.96037163835614,8.2133,1.0,3.0719,3.0693,3.4473,1.0,1.0593,5.1971,1.3552
SITE_029,25.321816574649368,82.96044431820134,7.8482,1.0,2.7527,2.7945,2.4531,1.0,1.1232,3.6381,1.155
SITE_030,25.326329268274943,82.96051701553417,6.9492,1.0,2.465,2.5524,1.7223,1.0,1.2516,2.0403,1.062
SITE_031,25.330841958942006,82.96058973035743,6.7956,1.0,2.2975,2.4279,1.2921,1.0,1.4163,1.2561,1.0478
SITE_032,25.335354646650167,82.96066246267401,6.7643,1.0,2.3022,2.4654,1.0963,1.0,1.5197,1.0402,1.1105
SITE_033,25.339867331398995,82.96073521248668,6.6713,1.0,2.4738,2.6533,1.0266,1.0,1.4789,1.0043,1.2896
