site_id,latitude,longitude,C1_Major_Roads,C5_Competitor_EVCS,C6_POI_Schools,C6_POI_Shopping_Malls,C6_POI_Restaurants,C6_POI_Hospitals,C6_POI_Theatres,C6_POI_Bus_Stops,C6_POI_Petrol_Bunks
SITE_001,25.308410194539526,82.95029735488956,8.3015,1.0,2.6659,1.5415,2.6477,2.388,1.1687,3.1981,2.2307
SITE_002,25.312922923776338,82.95036963237585,6.3224,1.0,2.4138,1.4782,2.1782,2.224,1.0495,2.4135,1.775
SITE_003,25.3174356500578,82.95044192725578,7.0869,1.0,2.1201,1.3789,1.7193,2.0075,1.0133,1.8653,1.3907
SITE_004,25.3219483733835,82.95051423953211,8.9426,1.0,1.853,1.2685,1.3814,1.779,1.0095,1.4226,1.1579
SITE_005,25.32646109375302,82.95058656920772,7.2666,1.0,1.6835,1.1794,1.1751,1.5852,1.0245,1.139,1.0524
SITE_006,25.330973811165975,82.95065891628538,5.4457,1.0,1.6623,1.1402,1.071,1.4734,1.0648,1.0288,1.0201
SITE_007,25.335486525621942,82.95073128076791,5.6795,1.0,1.8028,1.1681,1.0317,1.4862,1.1397,1.0037,1.0282
SITE_008,25.294806253392675,82.95504457276812,6.2264,1.0,3.1538,1.9591,2.7066,3.2071,3.6186,2.441,2.7557
SITE_009,25.299318978143837,82.95511698165545,8.2125,1.0,3.1769,1.9438,3.0263,3.266,2.4427,3.5602,3.0624
SITE_010,25.303831699939913,82.9551894079721,8.5922,1.0,3.1358,1.9313,3.0899,3.2199,1.6409,4.0784,2.9908
SITE_011,25.308344418780493,82.9552618517209,8.8469,1.0,3.004,1.8903,2.8252,3.0648,1.2296,3.9842,2.5562
SITE_012,25.31285713466516,82.9553343129047,7.5354,1.0,2.7799,1.7977,2.3692,2.8141,1.0685,3.7618,1.9789
SITE_013,25.317369847593515,82.95540679152627,7.7424,1.0,2.4981,1.6562,1.9032,2.5026,1.0261,3.2072,1.4941
SITE_014,25.321882557565146,82.95547928758845,8.3798,1.0,2.2244,1.4966,1.5238,2.1848,1.0415,2.2462,1.2004
SITE_015,25.326395264579638,82.95555180109406,6.4788,1.0,2.0364,1.3639,1.2635,1.9283,1.1165,1.4505,1.0685
SITE_016,25.33090796863659,82.95562433204594,4.7965,1.0,1.9972,1.2992,1.1235,1.8049,1.2873,1.1014,1.034
SITE_017,25.3354206697356,82.95569688044692,4.7679,1.0,2.1325,1.325,1.0731,1.8752,1.5772,1.0142,1.067
SITE_018,25.33993336787625,82.95576944629978,4.718,1.0,2.4184,1.4386,1.0718,2.1666,1.9334,1.0013,1.1877
SITE_019,25.34444606305813,82.9558420296074,4.8586,1.0,2.7831,1.6103,1.098,2.6458,2.2078,1.0001,1.4409
SITE_020,25.348958755280847,82.95591463037259,6.0306,1.0,3.1233,1.7871,1.1425,3.2026,2.2452,1.0,1.8313
SITE_021,25.28571491918763,82.95986336885562,5.9916,1.0,3.2427,2.9489,2.2202,3.8545,5.8005,1.055,2.8069
SITE_022,25.29022763646653,82.95993592636664,5.3084,1.0,3.2938,2.8461,2.4375,4.0999,5.0351,1.2706,2.7991
SITE_023,25.2947403507902,82.96000850134548,6.0875,1.0,3.3523,2.7057,2.7571,4.2174,3.7353,1.8314,2.8202
SITE_024,25.29925306215822,82.96008109379501,8.0812,1.0,3.4002,2.5629,3.0395,4.2064,2.4929,2.669,2.7599
SITE_025,25.303765770570195,82.96015370371799,8.8158,1.0,3.4017,2.4305,3.1,4.0725,1.6561,3.5041,2.53
SITE_026,25.308278476025702,82.9602263311173,7.6691,1.0,3.3212,2.294,2.8798,3.8239,1.236,4.4477,2.1391
SITE_027,25.312791178524336,82.96029897599574,8.983,1.0,3.1444,2.1313,2.4864,3.4777,1.0824,5.3826,1.704
SITE_028,25.317303878065697,82.96037163835614,8.2133,1.0,2.8937,1.9392,2.0501,3.073,1.0673,5.1971,1.3549
SITE_029,25.321816574649368,82.96044431820134,7.8482,1.0,2.6277,1.7442,1.6528,2.6773,1.1572,3.6381,1.1454
SITE_030,25.326329268274943,82.96051701553417,6.9492,1.0,2.4247,1.592,1.3596,2.3826,1.4091,2.0403,1.0523
SITE_031,25.330841958942006,82.96058973035743,6.7956,1.0,2.3554,1.5255,1.2052,2.2869,1.9182,1.2561,1.035
SITE_032,25.335354646650167,82.96066246267401,6.7643,1.0,2.4552,1.5658,1.1598,2.4642,2.7003,1.0402,1.0854
SITE_033,25.339867331398995,82.96073521248668,6.6713,1.0,2.707,1.7036,1.166,2.9268,3.5577,1.0043,1.2448
SITE_034,25.344380013188093,82.96080797979833,6.8243,1.0,3.0396,1.897,1.1955,3.592,4.0984,1.0003,1.5775
SITE_035,25.34889269201705,82.96088076461177,7.6632,1.0,3.3469,2.0804,1.243,4.2785,4.0053,1.0,2.0917
SITE_036,25.35340536788546,82.96095356692982,8.2584,1.0,3.5221,2.1843,1.2798,4.7574,3.3242,1.0,2.6516
SITE_037,25.281136169704872,82.96475418950313,7.8915,1.0,3.3142,4.014,2.306,4.6001,4.6907,1.0023,5.2972
SITE_038,25.285648876524476,82.96482691297608,7.4316,1.0,3.3798,4.107,2.3455,5.0499,4.82,1.0191,4.9159
SITE_039,25.290161580388286,82.96489965395816,7.0021,1.0,3.4571,4.002,2.5161,5.3126,4.1865,1.1017,4.3452
SITE_040,25.294674281295904,82.96497241245221,6.9463,1.0,3.5551,3.7419,2.7686,5.3882,3.1403,1.3466,3.6395
SITE_041,25.29918697924691,82.96504518846109,7.8308,1.0,3.6552,3.4088,3.0002,5.306,2.1605,1.8298,2.9604
SITE_042,25.303699674240896,82.96511798198758,8.3899,1.0,3.719,3.0741,3.065,5.0939,1.5187,2.7013,2.4016
SITE_043,25.308212366277452,82.96519079303455,7.9956,1.0,3.7044,2.768,2.9013,4.7646,1.217,4.3367,1.9509
SITE_044,25.312725055356175,82.9652636216048,8.0529,1.0,3.5865,2.4885,2.5711,4.3302,1.1417,6.3242,1.5831
SITE_045,25.317237741476646,82.9653364677012,8.8761,1.0,3.3751,2.2329,2.1649,3.8323,1.2188,6.7867,1.3079
SITE_046,25.321750424638466,82.9654093313266,8.9601,1.0,3.1184,2.0183,1.7666,3.3596,1.4856,4.9952,1.1364
SITE_047,25.326263104841228,82.96548221248379,8.9197,1.0,2.8915,1.877,1.4731,3.0392,2.0859,2.7346,1.0527
SITE_048,25.330775782084512,82.96555511117563,8.7955,1.0,2.7689,1.8377,1.3379,3.0004,3.162,1.4863,1.0301
SITE_049,25.335288456367916,82.96562802740497,8.7612,1.0,2.7945,1.9071,1.3165,3.3245,4.6326,1.0949,1.0601
SITE_050,25.33980112769103,82.96570096117465,8.6401,1.0,2.9595,2.0628,1.3245,3.9917,6.0247,1.0146,1.1677
SITE_051,25.344313796053445,82.96577391248746,8.6853,1.0,3.1993,2.2545,1.3285,4.8496,6.6487,1.0019,1.3956
SITE_052,25.348826461454752,82.96584688134632,8.574,1.0,3.4144,2.4142,1.3402,5.6345,6.1195,1.0002,1.7496
SITE_053,25.353339123894543,82.96591986775402,8.7319,1.0,3.5064,2.4765,1.3442,6.0616,4.7189,1.0,2.1371
SITE_054,25.35785178337241,82.96599287171344,8.6457,1.0,3.4138,2.4058,1.2979,5.9521,3.1558,1.0,2.3804
SITE_055,25.276557277339972,82.9696446433437,8.2223,1.0,3.2411,4.2165,2.4966,4.7287,2.7478,1.002,6.8569
SITE_056,25.281069973667933,82.96971753269032,8.1461,1.0,3.3733,4.7111,2.3674,5.4651,3.2336,1.0016,7.1679
SITE_057,25.285582667039538,82.96979043958737,8.6144,1.0,3.5009,4.9762,2.3904,6.0142,3.3073,1.0051,7.0034
SITE_058,25.290095357454387,82.9698633640377,8.9775,1.0,3.652,4.9463,2.5237,6.3352,2.9337,1.0275,6.2631
SITE_059,25.294608044912078,82.96993630604415,8.9016,1.0,3.8306,4.6553,2.7335,6.4522,2.3301,1.1076,5.2164
SITE_060,25.299120729412184,82.97000926560952,8.9101,1.0,4.015,4.2132,2.9585,6.4136,1.7795,1.3344,4.2536
SITE_061,25.303633410954305,82.97008224273668,8.5106,1.0,4.1637,3.7373,3.0727,6.2425,1.4442,1.9856,3.5154
SITE_062,25.308146089538035,82.97015523742849,8.0374,1.0,4.2292,3.2986,2.9862,5.9258,1.3418,3.5563,2.8942
SITE_063,25.312658765162954,82.97022824968775,7.973,1.0,4.1766,2.9203,2.7137,5.4543,1.429,5.7617,2.2963
