site_id,latitude,longitude,topsis_critic_score,topsis_critic_rank,topsis_entropy_score,topsis_entropy_rank,waspas_critic_score,waspas_critic_rank,waspas_entropy_score,waspas_entropy_rank
SITE_012,25.32472413531553,82.99744470082439,0.5391753140957388,1,0.572701473606336,2,0.6532931792813135,2,0.6609391043100434,2
SITE_004,25.31576615425902,82.99233192665228,0.5266728897349711,2,0.17258008629557908,5,0.668802426409572,1,0.4414023889163613,3
SITE_018,25.324656731698315,83.0024097210718,0.5155034847309884,3,0.8511362579786855,1,0.5971999380531257,5,0.7497086522746151,1
SITE_015,25.31111898283776,83.0021870410701,0.5131298163167016,4,0.1739672884221575,4,0.6071034720805326,4,0.42197736350783543,4
SITE_003,25.311253541027867,82.99225808525364,0.47938658792416344,5,0.12744744152992712,7,0.6385721366865935,3,0.40444500861435273,5
SITE_021,25.311051453242374,83.00715149221925,0.47235273652887994,6,0.1514925532888429,6,0.5479968995152926,7,0.3906351932028991,6
SITE_005,25.320278764526307,82.99240578581959,0.42092589997789326,7,0.12510936602708497,8,0.5649313609017936,6,0.3836707011400883,7
SITE_002,25.30674092483328,82.99218426162075,0.4003573951211291,8,0.0901080589961429,13,0.5378559084063818,8,0.34466071146411376,12
SITE_006,25.324791371829328,82.9924796627584,0.3999312749716122,9,0.11799696268851893,10,0.5237898525806717,10,0.36634368047314525,9
SITE_014,25.306606393952883,83.0021128501149,0.39629477845219757,10,0.11458052295906816,11,0.5329166450933349,9,0.36840039993281376,8
SITE_020,25.30653887806317,83.00707711760725,0.37226447585074685,11,0.1227178217194405,9,0.48540253274037687,12,0.36004452395847775,10
SITE_013,25.302093802102995,83.00203867701092,0.36171889507520455,12,0.0899502637822573,14,0.5157234134227018,11,0.3473250025466629,11
SITE_008,25.306673742877035,82.99714856477135,0.3377044634493208,13,0.07776867864713992,18,0.45198716748550194,15,0.3059808396983953,18
SITE_011,25.32021154165337,82.99737064009047,0.3313769665691732,14,0.0863463943202943,16,0.47179239888447755,13,0.3330201340311876,14
SITE_028,25.31549631512218,83.01219050167852,0.322882598799152,15,0.0863673232365162,15,0.374587143907936,21,0.2791764884873428,24
SITE_009,25.31118634543371,82.99722257206683,0.3197592514977708,16,0.07323454843753582,19,0.44806149121229333,16,0.3093025030431778,17
SITE_017,25.32014415171089,83.00233547654565,0.31640290868127696,17,0.09463300894939118,12,0.4563878995166757,14,0.32935506337102893,15
SITE_007,25.302161137356336,82.99707457528291,0.2930411580802993,18,0.061993718898798476,22,0.4369838994035854,17,0.3023381501503414,20
SITE_016,25.31563156875724,83.00226124987937,0.26226580284231976,19,0.08173961026152783,17,0.42599507562262817,18,0.3209748895290695,16
SITE_027,25.310983756649897,83.01211592547016,0.25722387497580046,20,0.0712038525052749,20,0.34991474106262144,26,0.27985507918653457,23
SITE_010,25.315698945025964,82.99729659717224,0.25113530920995736,21,0.05554845533664265,23,0.4036836714428311,19,0.29356029744171663,21
SITE_022,25.3155640254552,83.00722588472952,0.2450233021086819,22,0.06540176232223764,21,0.399529172382126,20,0.3035288053622067,19
SITE_029,25.32000887062666,83.0122650958322,0.2372223006369982,23,0.049805428427948474,24,0.344010887676661,27,0.25925601731296943,27
SITE_001,25.30222830567565,82.99211045575075,0.2307248289334507,24,0.04358540850307542,27,0.35543375828189067,25,0.2645354692854034,26
SITE_024,25.32458916097999,83.00737472345644,0.22001154332376913,25,0.18089519535095774,3,0.35602579495715714,24,0.33353057508247685,13
SITE_023,25.3200765947012,83.00730029514096,0.21688254592973913,26,0.045825570956159564,26,0.3603328062969584,23,0.2712596056041109,25
SITE_019,25.30202629991797,83.0070027608906,0.18505673801122788,27,0.04712497713597067,25,0.36264450031224194,22,0.2813484666130954,22
SITE_030,25.324521423162924,83.01233970793412,0.1459955563181304,28,0.03106899060511334,29,0.2762409959549306,29,0.23475385859208825,29
SITE_026,25.306471195210243,83.01204136720423,0.12231417469791851,29,0.04127819704246801,28,0.27860412316150485,28,0.2527764469099376,28
SITE_025,25.3019586308036,83.01196682687782,0.03595077542798168,30,0.011235477715341015,30,0.22374773139383147,30,0.2187169927057081,30
