scenario_id,description,perturbed_criterion,spearman_rho,kendall_tau,top5_overlap_pct,max_rank_shift
S01,+20% on C1_Major_Roads,C1_Major_Roads,0.9996,0.9873,100.0,11
S02,+20% on C5_Competitor_EVCS,C5_Competitor_EVCS,1.0,1.0,100.0,0
S03,+20% on C6_POI_Schools,C6_POI_Schools,0.9999,0.9947,100.0,5
S04,+20% on C6_POI_Shopping_Malls,C6_POI_Shopping_Malls,0.9998,0.9915,100.0,7
S05,+20% on C6_POI_Restaurants,C6_POI_Restaurants,0.9981,0.9725,100.0,35
S06,+20% on C6_POI_Hospitals,C6_POI_Hospitals,0.9986,0.9733,100.0,21
S07,+20% on C6_POI_Theatres,C6_POI_Theatres,0.9968,0.9621,100.0,31
S08,+20% on C6_POI_Bus_Stops,C6_POI_Bus_Stops,0.9946,0.9478,100.0,31
S09,+20% on C6_POI_Petrol_Bunks,C6_POI_Petrol_Bunks,0.998,0.9701,100.0,22
S10,Equal weights (1/N baseline),ALL_EQUAL,0.9918,0.9287,100.0,32
S11,Dominant Major Roads (50% weight),C1_Major_Roads_50PCT,0.8275,0.6555,80.0,178
S12,Dominant Shopping Malls (50% weight),C6_POI_Shopping_Malls_50PCT,0.898,0.7272,60.0,119
