hour,weekday_kwh,weekend_kwh,weighted_avg_kwh
0,7.3143,7.7102,7.4274
1,7.7533,8.3792,7.9322
2,7.1794,12.0581,8.5733
3,9.0035,22.2019,12.7744
4,10.0731,24.6627,14.2415
5,10.1258,21.6983,13.4322
6,15.2134,29.1782,19.2034
7,15.2134,22.2316,17.2186
8,9.7723,9.6023,9.7238
9,9.7723,9.6023,9.7238
10,9.7723,9.6023,9.7238
11,9.7723,9.6023,9.7238
12,17.7743,15.0457,16.9947
13,16.6551,16.485,16.6065
14,14.1042,21.3572,16.1765
15,14.8197,11.4506,13.8571
16,9.4779,8.4121,9.1734
17,10.6749,11.9693,11.0447
18,8.9312,10.7527,9.4517
19,6.7057,8.104,7.1052
20,6.9904,8.406,7.3948
21,6.4282,8.7903,7.1031
22,8.6256,7.878,8.412
23,5.0843,10.4154,6.6075
